ID1,ID2,Distance
11249_2007,11273_2007,0.568904
11165_2005,11195_2005,0.676416
11442_2012,11476_2012,0.88519
11088_2003,11108_2003,0.419241
11381_2010,11417_2011,0.751269
11442_2012,11477_2012,0.913215
11088_2003,11109_2003,0.489368
11381_2010,11418_2011,0.779084
11249_2007,11274_2007,0.617612
11381_2010,11419_2011,0.827342
11249_2007,11275_2007,0.657783
11200_2006,11233_2006,0.788622
11279_2007,11314_2008,0.804786
11088_2003,11110_2003,0.525341
11249_2007,11276_2007,0.691009
11165_2005,11196_2005,0.672801
11200_2006,11234_2006,0.845095
11088_2003,11111_2003,0.564046
11200_2006,11235_2006,0.887428
11279_2007,11315_2008,0.839781
11249_2007,11277_2007,0.729477
11381_2010,11420_2011,0.837617
11442_2012,11478_2012,0.943037
11088_2003,11112_2003,0.597194
11381_2010,11421_2011,0.864568
11249_2007,11278_2007,0.760435
11165_2005,11197_2005,0.740852
11249_2007,11279_2007,0.801936
11200_2006,11236_2006,0.931683
11165_2005,11198_2005,0.783798
11249_2007,11280_2008,0.845212
11279_2007,11316_2008,0.888808
11249_2007,11281_2008,0.855441
11279_2007,11317_2008,0.910395
11165_2005,11199_2005,0.788063
11088_2003,11113_2003,0.650646
11279_2007,11318_2008,0.916692
11381_2010,11422_2011,0.907804
11442_2012,11479_2012,0.997919
11088_2003,11114_2003,0.687638
11200_2006,11237_2006,0.98977
11279_2007,11319_2008,0.916583
11249_2007,11282_2008,0.898933
11381_2010,11423_2011,0.913374
11088_2003,11115_2003,0.726699
11165_2005,11200_2006,0.846234
11381_2010,11424_2011,0.924826
11249_2007,11283_2008,0.923307
11088_2003,11116_2003,0.726511
11381_2010,11425_2011,0.973231
11249_2007,11284_2008,0.939506
11088_2003,11117_2003,0.74107
11165_2005,11201_2006,0.860548
11200_2006,11238_2006,0.989749
11279_2007,11320_2009,0.921834
11249_2007,11285_2008,0.970519
11279_2007,11321_2009,0.952384
11200_2006,11239_2006,0.98973
11370_2010,11395_2010,0.568603
11423_2011,11447_2012,0.559556
11000_2001,11019_2001,0.436416
11067_2002,11095_2003,0.729379
11423_2011,11448_2012,0.57383
11370_2010,11396_2010,0.600859
11023_2001,11049_2002,0.640071
11000_2001,11020_2001,0.439443
11088_2003,11118_2003,0.778482
11279_2007,11322_2009,0.960119
11165_2005,11202_2006,0.89756
11088_2003,11119_2003,0.792684
11279_2007,11323_2009,0.965746
11165_2005,11203_2006,0.937262
11088_2003,11120_2004,0.791806
11279_2007,11324_2009,0.991488
11088_2003,11121_2004,0.788081
11165_2005,11204_2006,0.949474
11279_2007,11325_2009,0.998944
11088_2003,11122_2004,0.836926
11165_2005,11205_2006,0.955747
11045_2002,11076_2002,0.769351
11165_2005,11206_2006,0.973744
11088_2003,11123_2004,0.903716
11067_2002,11096_2003,0.733736
11088_2003,11124_2004,0.918593
11392_2010,11415_2011,0.489194
11067_2002,11097_2003,0.751575
11088_2003,11125_2004,0.953982
11433_2011,11445_2012,0.302963
11147_2004,11158_2004,0.264525
11108_2003,11124_2004,0.442487
11346_2009,11359_2009,0.320101
11147_2004,11159_2004,0.300851
11320_2009,11330_2009,0.230991
11293_2008,11306_2008,0.303258
11320_2009,11331_2009,0.235579
11307_2008,11317_2008,0.191078
11088_2003,11126_2004,0.991677
11307_2008,11318_2008,0.199781
11433_2011,11446_2012,0.338604
11147_2004,11160_2005,0.345586
11108_2003,11125_2004,0.460968
11433_2011,11447_2012,0.379269
11108_2003,11126_2004,0.495257
11307_2008,11319_2008,0.204167
11108_2003,11127_2004,0.521744
11147_2004,11161_2005,0.369082
11128_2004,11139_2004,0.249346
11108_2003,11128_2004,0.564567
11307_2008,11320_2009,0.208586
11108_2003,11129_2004,0.608882
11147_2004,11162_2005,0.399229
11307_2008,11321_2009,0.235609
11128_2004,11140_2004,0.280394
11320_2009,11332_2009,0.280275
11307_2008,11322_2009,0.249539
11128_2004,11141_2004,0.328132
11320_2009,11333_2009,0.282704
11147_2004,11163_2005,0.419048
11433_2011,11448_2012,0.401992
11108_2003,11130_2004,0.620533
11147_2004,11164_2005,0.483062
11423_2011,11449_2012,0.566617
11000_2001,11021_2001,0.451327
11067_2002,11098_2003,0.784851
11392_2010,11416_2011,0.515488
11370_2010,11397_2010,0.637718
11023_2001,11050_2002,0.704081
11045_2002,11077_2002,0.778572
11370_2010,11398_2010,0.671251
11045_2002,11078_2002,0.802359
11000_2001,11022_2001,0.485928
11023_2001,11051_2002,0.743424
11045_2002,11079_2002,0.852461
11000_2001,11023_2001,0.528501
11067_2002,11099_2003,0.784851
11370_2010,11399_2010,0.701869
11000_2001,11024_2001,0.542188
11392_2010,11417_2011,0.535952
11045_2002,11080_2003,0.859203
11000_2001,11025_2001,0.548718
11423_2011,11450_2012,0.57737
11023_2001,11052_2002,0.748475
11067_2002,11100_2003,0.789413
11000_2001,11026_2001,0.569766
11067_2002,11101_2003,0.825402
11392_2010,11418_2011,0.585154
11423_2011,11451_2012,0.595893
11023_2001,11053_2002,0.748955
11370_2010,11400_2011,0.723986
11413_2011,11438_2011,0.715417
11023_2001,11054_2002,0.77478
11045_2002,11081_2003,0.859234
11423_2011,11452_2012,0.614249
11000_2001,11027_2001,0.580579
11423_2011,11453_2012,0.642179
11023_2001,11055_2002,0.835915
11423_2011,11454_2012,0.699818
11045_2002,11082_2003,0.875321
11423_2011,11455_2012,0.737519
11023_2001,11056_2002,0.874439
11392_2010,11419_2011,0.649515
11000_2001,11028_2001,0.599198
11023_2001,11057_2002,0.900445
11413_2011,11439_2011,0.76521
11000_2001,11029_2001,0.621974
11067_2002,11102_2003,0.840395
11370_2010,11401_2011,0.723986
11045_2002,11083_2003,0.870185
11000_2001,11030_2001,0.676977
11045_2002,11084_2003,0.919648
11067_2002,11103_2003,0.851002
11423_2011,11456_2012,0.760061
11067_2002,11104_2003,0.872344
11370_2010,11402_2011,0.723723
11000_2001,11031_2001,0.760033
11423_2011,11457_2012,0.823134
11000_2001,11032_2001,0.812236
11023_2001,11058_2002,0.900754
11370_2010,11403_2011,0.76684
11423_2011,11458_2012,0.902768
11392_2010,11420_2011,0.682271
11370_2010,11404_2011,0.781171
11067_2002,11105_2003,0.930858
11023_2001,11059_2002,0.934831
11392_2010,11421_2011,0.693268
